time (s),w,x-axis,y-axis,z-axis,class
1661434228448.425,0.945,-0.059,0.142,-0.288,0
1661434228456.23,0.952,-0.066,0.1,-0.282,0
1661434228479.53,0.957,-0.073,0.053,-0.275,0
1661434228480.198,0.96,-0.081,0.005,-0.267,0
1661434228492.565,0.961,-0.089,-0.043,-0.259,0
1661434228507.7551,0.959,-0.098,-0.091,-0.252,0
1661434228508.798,0.954,-0.106,-0.138,-0.244,0
1661434228523.1272,0.948,-0.113,-0.183,-0.236,0
1661434228538.014,0.939,-0.12,-0.225,-0.228,0
1661434228539.668,0.93,-0.127,-0.266,-0.22,0
1661434228553.507,0.919,-0.132,-0.304,-0.212,0
1661434228568.007,0.908,-0.137,-0.34,-0.204,0
1661434228568.744,0.895,-0.141,-0.373,-0.197,0
1661434228590.677,0.883,-0.145,-0.405,-0.189,0
1661434228591.5972,0.869,-0.149,-0.436,-0.182,0
1661434228598.391,0.854,-0.151,-0.467,-0.174,0
1661434228612.536,0.838,-0.154,-0.497,-0.166,0
1661434228635.822,0.82,-0.156,-0.527,-0.158,0
1661434228636.486,0.803,-0.157,-0.556,-0.15,0
1661434228637.503,0.784,-0.159,-0.583,-0.142,0
1661434228650.8738,0.765,-0.16,-0.61,-0.134,0
1661434228657.757,0.745,-0.161,-0.635,-0.126,0
1661434228673.251,0.725,-0.162,-0.659,-0.119,0
1661434228680.9338,0.705,-0.163,-0.681,-0.112,0
1661434228688.028,0.684,-0.163,-0.703,-0.104,0
1661434228703.342,0.663,-0.163,-0.724,-0.097,0
1661434228726.099,0.642,-0.163,-0.744,-0.09,0
1661434228733.692,0.619,-0.163,-0.764,-0.083,0
1661434228734.046,0.597,-0.163,-0.782,-0.076,0
1661434228740.963,0.575,-0.163,-0.799,-0.068,0
1661434228748.279,0.553,-0.163,-0.815,-0.061,0
1661434228762.88,0.533,-0.162,-0.828,-0.055,0
1661434228771.049,0.515,-0.161,-0.84,-0.049,0
1661434228779.444,0.499,-0.16,-0.85,-0.044,0
1661434228793.798,0.486,-0.159,-0.859,-0.039,0
1661434228830.857,0.474,-0.158,-0.865,-0.036,0
1661434228845.897,0.465,-0.157,-0.871,-0.033,0
1661434228846.93,0.457,-0.156,-0.875,-0.031,0
1661434228860.857,0.448,-0.155,-0.88,-0.029,0
1661434228861.872,0.44,-0.154,-0.884,-0.028,0
1661434228862.8982,0.431,-0.152,-0.889,-0.026,0
1661434228876.228,0.423,-0.151,-0.893,-0.024,0
1661434228877.251,0.415,-0.15,-0.897,-0.023,0
1661434228883.574,0.409,-0.148,-0.9,-0.022,0
1661434228935.576,0.404,-0.147,-0.903,-0.021,0
1661434228936.234,0.4,-0.146,-0.904,-0.02,0
1661434228950.94,0.398,-0.145,-0.906,-0.02,0
1661434228951.904,0.396,-0.145,-0.906,-0.019,0
1661434228952.785,0.396,-0.144,-0.906,-0.019,0
1661434228957.774,0.398,-0.144,-0.906,-0.019,0
1661434228973.295,0.403,-0.145,-0.903,-0.02,0
1661434228988.043,0.412,-0.146,-0.899,-0.022,0
